id,pred_classes
1070378532260470789t,side-effect
973746711964372993t,side-effect
1043031076787040257t,side-effect
1066338147527741440t,side-effect
963522018544152576t,side-effect
1027180081997930501t,side-effect
1015587373537562625t,side-effect
1010148037828726784t,side-effect
1024938906750537728t,side-effect
1087794890942099457t,side-effect
1096050258277224449t,side-effect
1109166251765571589t,side-effect
1164355472469704704t,ingredients
1049860045423435776t,pharma
973082796859232256t,ingredients
1125356654483009537t,ingredients
1026937551309942784t,side-effect
1123909055599214598t,side-effect ineffective
1071079276433289216t,side-effect
999794111996727297t,none
948219542442008576t,ineffective pharma
1057586435564417025t,side-effect ineffective
974170030106492928t,side-effect ineffective
951940073934770176t,ineffective
1109958380301500417t,ineffective
1137165623514075138t,side-effect
1148976649624535042t,side-effect
1030265559395573761t,side-effect rushed
1164194599293710338t,side-effect
1125215271373942784t,side-effect
1054786806183485440t,pharma
967234030281216000t,ineffective pharma
1160964931128369153t,pharma
1088393073023950848t,pharma
1014717937825898496t,pharma
1142464446809272320t,side-effect pharma
1061268802820849667t,side-effect pharma
1170970178298867713t,pharma
1018015755751903232t,none
1042020166157185024t,side-effect pharma
1128845248921264128t,none
991498571718459392t,ingredients
1065658865780490242t,side-effect
970747474024464384t,side-effect
1129518608936136704t,side-effect
1090264312130678784t,side-effect
985914904145117185t,pharma
1058040977238028288t,side-effect unnecessary
1082408908579311618t,side-effect unnecessary
1106341395533627392t,ineffective
1205901360497119233t,side-effect mandatory
1133439987372896256t,side-effect mandatory
964534834164051968t,mandatory
1038275422289620993t,side-effect mandatory
1193715600574554112t,side-effect mandatory
1180707844787712001t,mandatory unnecessary rushed
1006895910058582016t,side-effect mandatory
1136739300454699008t,mandatory
1068903986693095424t,side-effect mandatory
1041195794416644096t,side-effect
1207325524588212224t,conspiracy
1008572015685431296t,side-effect conspiracy
955030774738284544t,side-effect
1208996212248104960t,conspiracy
1083126206491385856t,conspiracy
968502750597263360t,side-effect rushed
1102396138349518848t,side-effect
1075228335440048129t,conspiracy
1203827326959665153t,side-effect
967234030281216000t,ineffective pharma
1179124179901112320t,ingredients side-effect
1098984296679985152t,side-effect
1108875016618344450t,ingredients side-effect
1026957912206401538t,ingredients
1195741156178644993t,ingredients side-effect mandatory
1043698665871806464t,ingredients side-effect
1110307266614431746t,side-effect
1187346523073449984t,ingredients side-effect
1176730616131280896t,side-effect
1173979237855846400t,ingredients
1138823336853721089t,side-effect
1149497384595939329t,side-effect rushed
1104813287911444480t,side-effect rushed
1022525699213721602t,pharma
991770103229403136t,side-effect rushed
1056924182884188160t,none
1140676144053678080t,side-effect rushed
1030927060171145218t,side-effect rushed
1115683769430753282t,side-effect
1071832076138237952t,pharma
1122709949640056833t,side-effect
1140338704717946881t,political
1018015755751903232t,none
1046052957983305731t,political pharma
1080129483007377408t,side-effect
1171190611237429248t,side-effect
1100086196464742402t,political side-effect pharma
1112830830190186496t,political conspiracy
1087603081846685697t,side-effect mandatory
1008742236035715074t,religious ingredients
1137791624015224832t,ingredients side-effect
1207315349915484160t,side-effect
1109868805642178563t,side-effect rushed
983341327214661633t,side-effect
1032725464333279232t,side-effect
